,Packet Length,Trading Symbol,Sequence Number,Timestamp,LTP,LTQ,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest,Previous Close Price,Previous Open Interest,Underlying,Expiry Date,Strike Price,Type,Expiry Date Time,TTM,Change,Percentage Change,Change in Open Interest,Percentage Change in Open Interest
0,124,MAINIDX,323467,Tue Jul 04 17:49:40  2023,18534.75,0,0,0.0,0,0.0,0,0,18487.75,0,MAINIDX,,,DX,,,47.0,0.2542223905018188,0,
1,124,FINANCIALS,323468,Tue Jul 04 17:49:40  2023,19386.75,0,0,0.0,0,0.0,0,0,19322.7,0,FINANCIALS,,,LS,,,64.04999999999927,0.3314754149264817,0,
2,124,ALLBANKS,323469,Tue Jul 04 17:49:40  2023,43994.3,0,0,0.0,0,0.0,0,0,43790.2,0,ALLBANKS,,,KS,,,204.10000000000582,0.4660860192463287,0,
3,124,MIDCAPS,323470,Tue Jul 04 17:49:40  2023,7868.8,0,0,0.0,0,0.0,0,0,7592.05,0,MIDCAPS,,,PS,,,276.75,3.645260502762758,0,
4,124,ALLBANKS20JUL2338000CE,323471,Tue Jul 04 17:49:41  2023,6380.0,0,0,6380.0,0,6380.0,0,0,0.0,0,ALLBANKS,2023-07-20,38000,CE,2023-07-20 15:30:00,0.04356936043509006,6380.0,,0,
5,124,FINANCIALS18JUL2318750PE,323472,Tue Jul 04 17:49:41  2023,100.95,0,0,100.95,0,100.95,0,0,0.0,0,FINANCIALS,2023-07-18,18750,PE,2023-07-18 15:30:00,0.03808990838029554,100.95,,0,
6,124,MAINIDX28SEP2318950PE,323473,Tue Jul 04 17:49:41  2023,478.75,0,0,0.0,0,0.0,0,0,0.0,0,MAINIDX,2023-09-28,18950,PE,2023-09-28 15:30:00,0.23535018235289829,478.75,,0,
7,124,MAINIDX26OCT2314000CE,323474,Tue Jul 04 17:49:41  2023,3587.0,0,0,3587.0,0,3587.0,0,0,0.0,100,MAINIDX,2023-10-26,14000,CE,2023-10-26 15:30:00,0.3120625111200216,3587.0,,-100,-100.0
8,124,MAINIDX31DEC2619000CE,323475,Tue Jul 04 17:49:41  2023,3200.0,0,0,3200.0,0,3200.0,0,0,0.0,100,MAINIDX,2026-12-31,19000,CE,2026-12-31 15:30:00,3.495624154955638,3200.0,,-100,-100.0
9,124,FINANCIALS29AUG2319000PE,323476,Tue Jul 04 17:49:41  2023,403.0,0,0,403.0,0,403.0,0,0,0.0,120,FINANCIALS,2023-08-29,19000,PE,2023-08-29 15:30:00,0.15315840153098048,403.0,,-120,-100.0
10,124,FINANCIALS29AUG2319500CE,323477,Tue Jul 04 17:49:41  2023,773.1,0,0,773.1,0,773.1,0,0,0.0,120,FINANCIALS,2023-08-29,19500,CE,2023-08-29 15:30:00,0.15315840153098048,773.1,,-120,-100.0
11,124,FINANCIALS25JUL2319450PE,323478,Tue Jul 04 17:49:41  2023,464.0,0,0,464.0,0,464.0,0,40,0.0,120,FINANCIALS,2023-07-25,19450,PE,2023-07-25 15:30:00,0.05726799057207636,464.0,,-80,-66.66666666666666
12,124,MAINIDX24JUN2719000CE,323479,Tue Jul 04 17:49:41  2023,3701.25,0,0,3701.25,0,3701.25,0,0,0.0,150,MAINIDX,2027-06-24,19000,CE,2027-06-24 15:30:00,3.9750762097501586,3701.25,,-150,-100.0
13,124,ALLBANKS20JUL2345300PE,323480,Tue Jul 04 17:49:41  2023,1390.2,0,0,1390.2,0,1390.2,0,0,0.0,25,ALLBANKS,2023-07-20,45300,PE,2023-07-20 15:30:00,0.04356936043509006,1390.2,,-25,-100.0
14,124,ALLBANKS26OCT2339000CE,323481,Tue Jul 04 17:49:41  2023,4700.0,0,0,4700.0,0,4700.0,0,0,0.0,25,ALLBANKS,2023-10-26,39000,CE,2023-10-26 15:30:00,0.3120625111200216,4700.0,,-25,-100.0
15,124,ALLBANKS03AUG2344700CE,323482,Tue Jul 04 17:49:41  2023,963.65,0,0,963.65,0,963.65,0,0,0.0,350,ALLBANKS,2023-08-03,44700,CE,2023-08-03 15:30:00,0.08192552481865172,963.65,,-350,-100.0
16,124,FINANCIALS25JUL2319550PE,323483,Tue Jul 04 17:49:41  2023,462.45,0,0,462.45,0,462.45,0,0,0.0,40,FINANCIALS,2023-07-25,19550,PE,2023-07-25 15:30:00,0.05726799057207636,462.45,,-40,-100.0
17,124,ALLBANKS28SEP2342000CE,323484,Tue Jul 04 17:49:41  2023,3967.35,0,0,3967.35,0,3967.35,0,0,0.0,45,ALLBANKS,2023-09-28,42000,CE,2023-09-28 15:30:00,0.23535018235289829,3967.35,,-45,-100.0
18,124,MAINIDX25DEC2516000CE,323485,Tue Jul 04 17:49:41  2023,4394.5,0,0,4394.5,0,4394.5,0,0,0.0,50,MAINIDX,2025-12-25,16000,CE,2025-12-25 15:30:00,2.4791857987912542,4394.5,,-50,-100.0
19,124,MAINIDX25JUN2612000CE,323486,Tue Jul 04 17:49:41  2023,7200.0,0,0,7200.0,0,7200.0,0,0,0.0,50,MAINIDX,2026-06-25,12000,CE,2026-06-25 15:30:00,2.9778159357775555,7200.0,,-50,-100.0
20,124,MAINIDX25JUN2618000CE,323487,Tue Jul 04 17:49:41  2023,4000.0,0,0,4000.0,0,4000.0,0,0,0.0,50,MAINIDX,2026-06-25,18000,CE,2026-06-25 15:30:00,2.9778159357775555,4000.0,,-50,-100.0
21,124,MAINIDX26JUN2517000CE,323488,Tue Jul 04 17:49:41  2023,3440.0,0,0,3440.0,0,3440.0,0,0,0.0,50,MAINIDX,2025-06-26,17000,CE,2025-06-26 15:30:00,1.9805556618049533,3440.0,,-50,-100.0
22,124,MAINIDX28DEC2314000CE,323489,Tue Jul 04 17:49:41  2023,4625.0,0,0,4625.0,0,4625.0,0,0,0.0,50,MAINIDX,2023-12-28,14000,CE,2023-12-28 15:30:00,0.484665250846049,4625.0,,-50,-100.0
23,124,MAINIDX31DEC2616000CE,323490,Tue Jul 04 17:49:41  2023,5450.25,0,0,5450.25,0,5450.25,0,0,0.0,50,MAINIDX,2026-12-31,16000,CE,2026-12-31 15:30:00,3.495624154955638,5450.25,,-50,-100.0
24,124,ALLBANKS03AUG2344200PE,323491,Tue Jul 04 17:49:41  2023,1355.1,0,0,0.0,0,1350.0,400,0,0.0,575,ALLBANKS,2023-08-03,44200,PE,2023-08-03 15:30:00,0.08192552481865172,1355.1,,-575,-100.0
25,124,ALLBANKS28SEP2348500CE,323492,Tue Jul 04 17:49:41  2023,871.65,0,0,871.65,0,871.65,0,0,0.0,75,ALLBANKS,2023-09-28,48500,CE,2023-09-28 15:30:00,0.23535018235289829,871.65,,-75,-100.0
26,124,ALLBANKS31AUG2342200CE,323493,Tue Jul 04 17:49:41  2023,2370.85,0,0,2370.85,0,2370.85,0,0,0.0,885,ALLBANKS,2023-08-31,42200,CE,2023-08-31 15:30:00,0.158637853585775,2370.85,,-885,-100.0
27,124,ALLBANKS31AUG2342300CE,323494,Tue Jul 04 17:49:41  2023,2503.19,0,0,2503.19,0,2503.19,0,0,0.0,885,ALLBANKS,2023-08-31,42300,CE,2023-08-31 15:30:00,0.158637853585775,2503.19,,-885,-100.0
28,124,ALLBANKS31AUG2342400CE,323495,Tue Jul 04 17:49:41  2023,2189.85,0,0,2189.85,0,2189.85,0,0,0.0,885,ALLBANKS,2023-08-31,42400,CE,2023-08-31 15:30:00,0.158637853585775,2189.85,,-885,-100.0
29,124,ALLBANKS31AUG2345700PE,323496,Tue Jul 04 17:49:41  2023,1829.15,0,0,1829.15,0,1829.15,0,0,0.0,885,ALLBANKS,2023-08-31,45700,PE,2023-08-31 15:30:00,0.158637853585775,1829.15,,-885,-100.0
30,124,ALLBANKS31AUG2345800PE,323497,Tue Jul 04 17:49:41  2023,1872.55,0,0,1872.55,0,1872.55,0,0,0.0,885,ALLBANKS,2023-08-31,45800,PE,2023-08-31 15:30:00,0.158637853585775,1872.55,,-885,-100.0
31,124,ALLBANKS28SEP2339500PE,323498,Tue Jul 04 17:49:41  2023,275.0,0,0,0.0,0,239.95,600,0,0.0,885,ALLBANKS,2023-09-28,39500,PE,2023-09-28 15:30:00,0.23535018235289829,275.0,,-885,-100.0
32,124,ALLBANKS31AUG2345200PE,323499,Tue Jul 04 17:49:41  2023,1337.05,0,0,0.0,0,1897.9,15,0,0.0,900,ALLBANKS,2023-08-31,45200,PE,2023-08-31 15:30:00,0.158637853585775,1337.05,,-900,-100.0
33,124,ALLBANKS31AUG2345400PE,323500,Tue Jul 04 17:49:41  2023,1605.4,0,0,0.0,0,1589.45,15,0,0.0,900,ALLBANKS,2023-08-31,45400,PE,2023-08-31 15:30:00,0.158637853585775,1605.4,,-900,-100.0
34,124,ALLBANKS31AUG2345500PE,323501,Tue Jul 04 17:49:41  2023,1637.95,0,0,0.0,0,2186.1,30,0,0.0,915,ALLBANKS,2023-08-31,45500,PE,2023-08-31 15:30:00,0.158637853585775,1637.95,,-915,-100.0
35,124,ALLBANKS31AUG2342800CE,323502,Tue Jul 04 17:49:41  2023,1906.55,0,0,0.0,0,2051.15,15,0,0.0,945,ALLBANKS,2023-08-31,42800,CE,2023-08-31 15:30:00,0.158637853585775,1906.55,,-945,-100.0
